op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
-,*,5,9,9,-4,-36,(5-9),(5-9)*9=
-,//,9,3,8,6,0,(9-3),(9-3)//8=
*,*,4,7,8,28,224,(4*7),(4*7)*8=
*,-,2,3,3,6,3,(2*3),(2*3)-3=
-,//,6,8,2,-2,-1,(6-8),(6-8)//2=
//,*,7,1,4,7,28,(7//1),(7//1)*4=
-,*,6,5,1,1,1,(6-5),(6-5)*1=
+,-,2,1,3,3,0,(2+1),(2+1)-3=
*,+,3,9,4,27,31,(3*9),(3*9)+4=
//,+,8,4,4,2,6,(8//4),(8//4)+4=
+,-,7,5,3,12,9,(7+5),(7+5)-3=
*,-,8,3,3,24,21,(8*3),(8*3)-3=
-,+,4,7,3,-3,0,(4-7),(4-7)+3=
//,//,7,7,6,1,0,(7//7),(7//7)//6=
+,//,1,4,7,5,0,(1+4),(1+4)//7=
-,*,6,2,8,4,32,(6-2),(6-2)*8=
*,*,2,6,8,12,96,(2*6),(2*6)*8=
+,+,2,8,7,10,17,(2+8),(2+8)+7=
-,*,2,4,3,-2,-6,(2-4),(2-4)*3=
-,//,8,5,8,3,0,(8-5),(8-5)//8=
-,//,2,9,6,-7,-2,(2-9),(2-9)//6=
+,+,6,5,1,11,12,(6+5),(6+5)+1=
//,+,6,8,5,0,5,(6//8),(6//8)+5=
*,+,1,7,1,7,8,(1*7),(1*7)+1=
//,-,2,2,5,1,-4,(2//2),(2//2)-5=
*,//,4,3,7,12,1,(4*3),(4*3)//7=
+,*,7,5,9,12,108,(7+5),(7+5)*9=
*,*,7,4,7,28,196,(7*4),(7*4)*7=
*,-,5,3,6,15,9,(5*3),(5*3)-6=
*,+,5,1,4,5,9,(5*1),(5*1)+4=
-,-,1,3,8,-2,-10,(1-3),(1-3)-8=
//,*,9,9,5,1,5,(9//9),(9//9)*5=
+,+,4,1,8,5,13,(4+1),(4+1)+8=
+,*,2,7,8,9,72,(2+7),(2+7)*8=
+,//,9,9,1,18,18,(9+9),(9+9)//1=
//,+,5,1,7,5,12,(5//1),(5//1)+7=
-,*,3,6,5,-3,-15,(3-6),(3-6)*5=
*,//,9,2,1,18,18,(9*2),(9*2)//1=
+,*,3,3,2,6,12,(3+3),(3+3)*2=
*,//,8,1,8,8,1,(8*1),(8*1)//8=
//,//,6,6,4,1,0,(6//6),(6//6)//4=
+,+,5,8,6,13,19,(5+8),(5+8)+6=
-,-,8,6,1,2,1,(8-6),(8-6)-1=
+,-,8,1,6,9,3,(8+1),(8+1)-6=
+,*,3,8,9,11,99,(3+8),(3+8)*9=
+,*,8,6,3,14,42,(8+6),(8+6)*3=
-,-,2,4,5,-2,-7,(2-4),(2-4)-5=
-,//,3,2,5,1,0,(3-2),(3-2)//5=
//,+,4,3,3,1,4,(4//3),(4//3)+3=
-,*,3,1,8,2,16,(3-1),(3-1)*8=
*,//,1,7,4,7,1,(1*7),(1*7)//4=
//,*,5,4,2,1,2,(5//4),(5//4)*2=
//,+,1,8,3,0,3,(1//8),(1//8)+3=
-,*,8,4,5,4,20,(8-4),(8-4)*5=
-,-,4,7,9,-3,-12,(4-7),(4-7)-9=
-,-,6,1,8,5,-3,(6-1),(6-1)-8=
+,//,1,2,4,3,0,(1+2),(1+2)//4=
-,*,5,6,2,-1,-2,(5-6),(5-6)*2=
*,//,6,4,6,24,4,(6*4),(6*4)//6=
+,//,7,2,5,9,1,(7+2),(7+2)//5=
//,//,9,4,8,2,0,(9//4),(9//4)//8=
+,-,9,3,3,12,9,(9+3),(9+3)-3=
+,*,9,1,6,10,60,(9+1),(9+1)*6=
-,//,2,3,3,-1,-1,(2-3),(2-3)//3=
+,-,9,9,5,18,13,(9+9),(9+9)-5=
*,*,9,7,5,63,315,(9*7),(9*7)*5=
+,*,5,7,1,12,12,(5+7),(5+7)*1=
-,//,3,3,8,0,0,(3-3),(3-3)//8=
*,-,1,2,9,2,-7,(1*2),(1*2)-9=
+,-,8,4,4,12,8,(8+4),(8+4)-4=
*,*,7,3,4,21,84,(7*3),(7*3)*4=
*,+,4,5,3,20,23,(4*5),(4*5)+3=
-,//,6,3,2,3,1,(6-3),(6-3)//2=
-,//,6,9,3,-3,-1,(6-9),(6-9)//3=
//,*,5,7,2,0,0,(5//7),(5//7)*2=
//,+,8,5,9,1,10,(8//5),(8//5)+9=
*,-,8,8,1,64,63,(8*8),(8*8)-1=
-,-,7,3,7,4,-3,(7-3),(7-3)-7=
-,-,8,2,5,6,1,(8-2),(8-2)-5=
+,+,7,4,5,11,16,(7+4),(7+4)+5=
*,-,9,9,6,81,75,(9*9),(9*9)-6=
//,-,3,2,3,1,-2,(3//2),(3//2)-3=
-,//,8,8,4,0,0,(8-8),(8-8)//4=
+,+,5,8,4,13,17,(5+8),(5+8)+4=
*,//,9,5,3,45,15,(9*5),(9*5)//3=
*,//,2,1,4,2,0,(2*1),(2*1)//4=
//,-,5,2,7,2,-5,(5//2),(5//2)-7=
*,*,6,6,3,36,108,(6*6),(6*6)*3=
*,-,5,3,7,15,8,(5*3),(5*3)-7=
+,-,2,7,9,9,0,(2+7),(2+7)-9=
+,//,3,8,5,11,2,(3+8),(3+8)//5=
-,-,5,3,9,2,-7,(5-3),(5-3)-9=
+,+,3,8,8,11,19,(3+8),(3+8)+8=
+,//,9,7,2,16,8,(9+7),(9+7)//2=
-,-,9,5,9,4,-5,(9-5),(9-5)-9=
-,-,3,3,1,0,-1,(3-3),(3-3)-1=
+,*,7,6,2,13,26,(7+6),(7+6)*2=
*,+,2,4,9,8,17,(2*4),(2*4)+9=
+,+,3,7,4,10,14,(3+7),(3+7)+4=
*,//,1,1,7,1,0,(1*1),(1*1)//7=
+,+,4,4,7,8,15,(4+4),(4+4)+7=
+,*,9,5,2,14,28,(9+5),(9+5)*2=
*,*,9,8,8,72,576,(9*8),(9*8)*8=
*,+,9,3,3,27,30,(9*3),(9*3)+3=
*,-,5,2,7,10,3,(5*2),(5*2)-7=
*,*,5,3,9,15,135,(5*3),(5*3)*9=
+,*,7,8,7,15,105,(7+8),(7+8)*7=
//,//,3,7,3,0,0,(3//7),(3//7)//3=
*,*,1,2,9,2,18,(1*2),(1*2)*9=
+,-,2,2,4,4,0,(2+2),(2+2)-4=
-,//,3,6,9,-3,-1,(3-6),(3-6)//9=
//,+,3,4,8,0,8,(3//4),(3//4)+8=
-,-,6,4,7,2,-5,(6-4),(6-4)-7=
-,//,7,6,2,1,0,(7-6),(7-6)//2=
//,//,1,4,5,0,0,(1//4),(1//4)//5=
//,//,5,2,2,2,1,(5//2),(5//2)//2=
-,-,3,9,1,-6,-7,(3-9),(3-9)-1=
-,+,5,7,6,-2,4,(5-7),(5-7)+6=
-,//,5,3,5,2,0,(5-3),(5-3)//5=
+,//,2,7,6,9,1,(2+7),(2+7)//6=
-,*,6,3,4,3,12,(6-3),(6-3)*4=
*,+,6,1,4,6,10,(6*1),(6*1)+4=
-,*,8,6,6,2,12,(8-6),(8-6)*6=
//,-,2,4,3,0,-3,(2//4),(2//4)-3=
*,*,5,4,1,20,20,(5*4),(5*4)*1=
//,//,8,5,9,1,0,(8//5),(8//5)//9=
//,*,4,7,1,0,0,(4//7),(4//7)*1=
*,*,4,9,3,36,108,(4*9),(4*9)*3=
+,//,6,2,1,8,8,(6+2),(6+2)//1=
+,//,3,7,3,10,3,(3+7),(3+7)//3=
*,*,6,1,7,6,42,(6*1),(6*1)*7=
//,//,4,6,4,0,0,(4//6),(4//6)//4=
*,*,8,2,1,16,16,(8*2),(8*2)*1=
-,*,3,8,7,-5,-35,(3-8),(3-8)*7=
//,+,8,1,8,8,16,(8//1),(8//1)+8=
-,//,1,6,8,-5,-1,(1-6),(1-6)//8=
//,-,3,8,8,0,-8,(3//8),(3//8)-8=
*,*,8,1,7,8,56,(8*1),(8*1)*7=
//,-,4,5,4,0,-4,(4//5),(4//5)-4=
-,*,1,8,5,-7,-35,(1-8),(1-8)*5=
+,+,6,4,8,10,18,(6+4),(6+4)+8=
*,//,4,1,7,4,0,(4*1),(4*1)//7=
+,-,3,8,4,11,7,(3+8),(3+8)-4=
//,-,2,8,6,0,-6,(2//8),(2//8)-6=
//,-,1,1,6,1,-5,(1//1),(1//1)-6=
//,*,1,1,2,1,2,(1//1),(1//1)*2=
-,+,8,1,7,7,14,(8-1),(8-1)+7=
//,-,6,5,2,1,-1,(6//5),(6//5)-2=
+,//,8,3,4,11,2,(8+3),(8+3)//4=
-,-,2,7,9,-5,-14,(2-7),(2-7)-9=
-,+,3,6,2,-3,-1,(3-6),(3-6)+2=
+,*,3,1,8,4,32,(3+1),(3+1)*8=
-,+,4,1,4,3,7,(4-1),(4-1)+4=
-,-,4,2,1,2,1,(4-2),(4-2)-1=
+,-,2,8,1,10,9,(2+8),(2+8)-1=
*,-,7,8,4,56,52,(7*8),(7*8)-4=
*,-,6,5,1,30,29,(6*5),(6*5)-1=
-,*,4,4,1,0,0,(4-4),(4-4)*1=
//,//,7,2,7,3,0,(7//2),(7//2)//7=
-,*,8,1,9,7,63,(8-1),(8-1)*9=
+,-,3,6,6,9,3,(3+6),(3+6)-6=
//,-,8,1,3,8,5,(8//1),(8//1)-3=
-,//,6,6,6,0,0,(6-6),(6-6)//6=
//,+,4,7,5,0,5,(4//7),(4//7)+5=
+,+,2,1,1,3,4,(2+1),(2+1)+1=
-,+,7,2,4,5,9,(7-2),(7-2)+4=
+,-,7,7,3,14,11,(7+7),(7+7)-3=
*,-,8,8,5,64,59,(8*8),(8*8)-5=
*,-,8,1,4,8,4,(8*1),(8*1)-4=
//,-,1,6,6,0,-6,(1//6),(1//6)-6=
//,+,7,5,3,1,4,(7//5),(7//5)+3=
//,+,4,6,1,0,1,(4//6),(4//6)+1=
+,*,7,4,6,11,66,(7+4),(7+4)*6=
*,+,4,7,4,28,32,(4*7),(4*7)+4=
+,*,7,6,6,13,78,(7+6),(7+6)*6=
*,*,4,7,3,28,84,(4*7),(4*7)*3=
*,+,6,4,4,24,28,(6*4),(6*4)+4=
-,//,4,2,6,2,0,(4-2),(4-2)//6=
//,+,9,8,9,1,10,(9//8),(9//8)+9=
-,-,8,3,7,5,-2,(8-3),(8-3)-7=
//,-,7,3,2,2,0,(7//3),(7//3)-2=
+,//,2,1,8,3,0,(2+1),(2+1)//8=
*,//,1,2,9,2,0,(1*2),(1*2)//9=
+,//,9,7,3,16,5,(9+7),(9+7)//3=
*,*,8,4,4,32,128,(8*4),(8*4)*4=
//,*,6,8,2,0,0,(6//8),(6//8)*2=
-,+,4,7,5,-3,2,(4-7),(4-7)+5=
-,*,6,8,9,-2,-18,(6-8),(6-8)*9=
*,-,5,8,7,40,33,(5*8),(5*8)-7=
//,//,2,3,2,0,0,(2//3),(2//3)//2=
+,+,4,5,6,9,15,(4+5),(4+5)+6=
//,//,5,1,6,5,0,(5//1),(5//1)//6=
-,+,1,3,9,-2,7,(1-3),(1-3)+9=
-,+,8,6,3,2,5,(8-6),(8-6)+3=
+,-,6,3,2,9,7,(6+3),(6+3)-2=
+,//,9,6,2,15,7,(9+6),(9+6)//2=
//,//,6,4,7,1,0,(6//4),(6//4)//7=
+,+,5,7,4,12,16,(5+7),(5+7)+4=
+,+,4,3,8,7,15,(4+3),(4+3)+8=
*,//,6,5,7,30,4,(6*5),(6*5)//7=
-,+,9,7,6,2,8,(9-7),(9-7)+6=
-,//,6,4,8,2,0,(6-4),(6-4)//8=
*,*,2,5,9,10,90,(2*5),(2*5)*9=
+,-,5,4,8,9,1,(5+4),(5+4)-8=
//,-,4,3,3,1,-2,(4//3),(4//3)-3=
//,+,8,6,8,1,9,(8//6),(8//6)+8=
*,+,5,3,1,15,16,(5*3),(5*3)+1=
*,-,3,5,4,15,11,(3*5),(3*5)-4=
//,+,5,8,8,0,8,(5//8),(5//8)+8=
-,+,3,2,2,1,3,(3-2),(3-2)+2=
-,+,4,7,4,-3,1,(4-7),(4-7)+4=
*,*,1,7,9,7,63,(1*7),(1*7)*9=
-,-,9,8,5,1,-4,(9-8),(9-8)-5=
//,*,6,4,8,1,8,(6//4),(6//4)*8=
*,+,8,6,1,48,49,(8*6),(8*6)+1=
+,*,4,3,4,7,28,(4+3),(4+3)*4=
+,-,2,6,8,8,0,(2+6),(2+6)-8=
+,*,5,8,7,13,91,(5+8),(5+8)*7=
-,+,5,2,7,3,10,(5-2),(5-2)+7=
//,*,8,8,1,1,1,(8//8),(8//8)*1=
//,*,5,3,8,1,8,(5//3),(5//3)*8=
*,+,1,1,3,1,4,(1*1),(1*1)+3=
+,//,8,7,7,15,2,(8+7),(8+7)//7=
+,-,1,6,2,7,5,(1+6),(1+6)-2=
//,//,3,3,1,1,1,(3//3),(3//3)//1=
+,-,2,1,2,3,1,(2+1),(2+1)-2=
-,-,4,1,2,3,1,(4-1),(4-1)-2=
*,+,1,7,9,7,16,(1*7),(1*7)+9=
//,//,3,6,4,0,0,(3//6),(3//6)//4=
+,+,6,1,7,7,14,(6+1),(6+1)+7=
*,-,8,9,8,72,64,(8*9),(8*9)-8=
+,*,6,6,6,12,72,(6+6),(6+6)*6=
-,//,6,4,6,2,0,(6-4),(6-4)//6=
*,*,2,6,3,12,36,(2*6),(2*6)*3=
//,//,8,2,9,4,0,(8//2),(8//2)//9=
-,*,1,9,6,-8,-48,(1-9),(1-9)*6=
//,-,6,8,8,0,-8,(6//8),(6//8)-8=
+,+,5,8,9,13,22,(5+8),(5+8)+9=
-,+,8,9,8,-1,7,(8-9),(8-9)+8=
-,+,9,2,8,7,15,(9-2),(9-2)+8=
*,//,7,2,2,14,7,(7*2),(7*2)//2=
//,-,1,8,8,0,-8,(1//8),(1//8)-8=
+,-,9,1,4,10,6,(9+1),(9+1)-4=
+,-,9,9,7,18,11,(9+9),(9+9)-7=
-,-,7,3,4,4,0,(7-3),(7-3)-4=
+,-,4,6,7,10,3,(4+6),(4+6)-7=
-,-,5,8,8,-3,-11,(5-8),(5-8)-8=
-,//,3,4,4,-1,-1,(3-4),(3-4)//4=
-,//,9,8,2,1,0,(9-8),(9-8)//2=
-,//,1,1,3,0,0,(1-1),(1-1)//3=
*,//,6,9,4,54,13,(6*9),(6*9)//4=
//,+,4,3,8,1,9,(4//3),(4//3)+8=
//,//,4,4,8,1,0,(4//4),(4//4)//8=
+,+,7,7,3,14,17,(7+7),(7+7)+3=
-,-,6,9,2,-3,-5,(6-9),(6-9)-2=
//,-,9,9,4,1,-3,(9//9),(9//9)-4=
-,+,2,7,1,-5,-4,(2-7),(2-7)+1=
-,+,9,9,5,0,5,(9-9),(9-9)+5=
//,+,8,7,8,1,9,(8//7),(8//7)+8=
*,+,8,4,3,32,35,(8*4),(8*4)+3=
+,//,8,9,4,17,4,(8+9),(8+9)//4=
-,-,7,1,4,6,2,(7-1),(7-1)-4=
+,+,2,8,1,10,11,(2+8),(2+8)+1=
-,-,3,7,1,-4,-5,(3-7),(3-7)-1=
*,*,6,8,7,48,336,(6*8),(6*8)*7=
-,-,1,5,4,-4,-8,(1-5),(1-5)-4=
-,*,6,5,5,1,5,(6-5),(6-5)*5=
//,//,6,8,5,0,0,(6//8),(6//8)//5=
//,//,8,2,6,4,0,(8//2),(8//2)//6=
*,//,5,4,4,20,5,(5*4),(5*4)//4=
//,//,3,4,8,0,0,(3//4),(3//4)//8=
+,-,1,7,7,8,1,(1+7),(1+7)-7=
//,-,4,8,5,0,-5,(4//8),(4//8)-5=
*,-,4,4,7,16,9,(4*4),(4*4)-7=
+,//,5,3,1,8,8,(5+3),(5+3)//1=
-,*,1,7,1,-6,-6,(1-7),(1-7)*1=
-,+,7,6,4,1,5,(7-6),(7-6)+4=
+,//,5,7,6,12,2,(5+7),(5+7)//6=
//,//,2,5,3,0,0,(2//5),(2//5)//3=
*,-,9,4,4,36,32,(9*4),(9*4)-4=
+,*,2,7,6,9,54,(2+7),(2+7)*6=
//,//,1,6,5,0,0,(1//6),(1//6)//5=
*,*,4,1,9,4,36,(4*1),(4*1)*9=
*,//,3,1,1,3,3,(3*1),(3*1)//1=
-,//,6,8,6,-2,-1,(6-8),(6-8)//6=
//,-,4,7,5,0,-5,(4//7),(4//7)-5=
-,//,1,7,4,-6,-2,(1-7),(1-7)//4=
-,+,1,8,3,-7,-4,(1-8),(1-8)+3=
-,-,7,9,7,-2,-9,(7-9),(7-9)-7=
*,+,3,7,5,21,26,(3*7),(3*7)+5=
//,-,2,2,2,1,-1,(2//2),(2//2)-2=
-,+,6,1,4,5,9,(6-1),(6-1)+4=
//,*,9,8,2,1,2,(9//8),(9//8)*2=
-,+,8,9,7,-1,6,(8-9),(8-9)+7=
//,//,4,4,4,1,0,(4//4),(4//4)//4=
*,//,6,9,1,54,54,(6*9),(6*9)//1=
-,//,7,2,4,5,1,(7-2),(7-2)//4=
*,//,7,1,7,7,1,(7*1),(7*1)//7=
//,-,2,6,8,0,-8,(2//6),(2//6)-8=
//,-,7,3,8,2,-6,(7//3),(7//3)-8=
-,-,6,7,6,-1,-7,(6-7),(6-7)-6=
*,*,2,1,9,2,18,(2*1),(2*1)*9=
*,-,9,5,7,45,38,(9*5),(9*5)-7=
//,//,3,1,7,3,0,(3//1),(3//1)//7=
+,//,7,1,8,8,1,(7+1),(7+1)//8=
-,//,8,8,8,0,0,(8-8),(8-8)//8=
//,-,7,4,7,1,-6,(7//4),(7//4)-7=
+,*,5,2,6,7,42,(5+2),(5+2)*6=
-,*,8,6,4,2,8,(8-6),(8-6)*4=
*,+,8,4,5,32,37,(8*4),(8*4)+5=
-,-,4,6,5,-2,-7,(4-6),(4-6)-5=
+,+,2,3,1,5,6,(2+3),(2+3)+1=
//,-,9,1,2,9,7,(9//1),(9//1)-2=
-,//,7,2,6,5,0,(7-2),(7-2)//6=
+,-,1,8,6,9,3,(1+8),(1+8)-6=
*,//,7,7,3,49,16,(7*7),(7*7)//3=
//,//,8,4,7,2,0,(8//4),(8//4)//7=
*,+,1,5,9,5,14,(1*5),(1*5)+9=
*,*,8,9,4,72,288,(8*9),(8*9)*4=
//,//,3,9,5,0,0,(3//9),(3//9)//5=
*,-,3,8,8,24,16,(3*8),(3*8)-8=
-,+,1,1,9,0,9,(1-1),(1-1)+9=
+,+,8,8,6,16,22,(8+8),(8+8)+6=
*,*,4,7,1,28,28,(4*7),(4*7)*1=
+,*,1,9,2,10,20,(1+9),(1+9)*2=
*,//,8,4,5,32,6,(8*4),(8*4)//5=
+,-,7,1,8,8,0,(7+1),(7+1)-8=
//,//,7,3,5,2,0,(7//3),(7//3)//5=
//,//,6,3,3,2,0,(6//3),(6//3)//3=
*,*,3,2,7,6,42,(3*2),(3*2)*7=
+,+,8,9,5,17,22,(8+9),(8+9)+5=
+,-,2,8,5,10,5,(2+8),(2+8)-5=
+,+,4,2,1,6,7,(4+2),(4+2)+1=
//,+,7,1,5,7,12,(7//1),(7//1)+5=
-,//,8,9,4,-1,-1,(8-9),(8-9)//4=
-,*,8,3,5,5,25,(8-3),(8-3)*5=
*,+,5,4,9,20,29,(5*4),(5*4)+9=
//,-,5,4,2,1,-1,(5//4),(5//4)-2=
//,*,1,1,8,1,8,(1//1),(1//1)*8=
-,//,6,7,5,-1,-1,(6-7),(6-7)//5=
+,*,3,5,7,8,56,(3+5),(3+5)*7=
+,*,2,5,1,7,7,(2+5),(2+5)*1=
+,-,5,3,2,8,6,(5+3),(5+3)-2=
+,*,1,3,5,4,20,(1+3),(1+3)*5=
//,//,7,3,7,2,0,(7//3),(7//3)//7=
-,+,3,9,1,-6,-5,(3-9),(3-9)+1=
-,-,4,4,9,0,-9,(4-4),(4-4)-9=
+,-,7,6,9,13,4,(7+6),(7+6)-9=
+,*,6,1,7,7,49,(6+1),(6+1)*7=
*,+,8,5,8,40,48,(8*5),(8*5)+8=
-,*,1,6,3,-5,-15,(1-6),(1-6)*3=
-,*,8,3,1,5,5,(8-3),(8-3)*1=
+,+,4,1,3,5,8,(4+1),(4+1)+3=
-,+,8,4,2,4,6,(8-4),(8-4)+2=
+,+,4,3,9,7,16,(4+3),(4+3)+9=
-,-,9,3,6,6,0,(9-3),(9-3)-6=
-,-,9,2,5,7,2,(9-2),(9-2)-5=
*,//,7,1,6,7,1,(7*1),(7*1)//6=
*,//,9,4,5,36,7,(9*4),(9*4)//5=
+,-,3,7,7,10,3,(3+7),(3+7)-7=
*,+,1,5,6,5,11,(1*5),(1*5)+6=
*,*,1,5,2,5,10,(1*5),(1*5)*2=
*,+,4,5,8,20,28,(4*5),(4*5)+8=
-,*,8,3,8,5,40,(8-3),(8-3)*8=
//,//,9,2,1,4,4,(9//2),(9//2)//1=
*,*,9,4,8,36,288,(9*4),(9*4)*8=
//,*,2,4,3,0,0,(2//4),(2//4)*3=
-,//,8,8,6,0,0,(8-8),(8-8)//6=
//,-,4,3,8,1,-7,(4//3),(4//3)-8=
*,//,6,2,2,12,6,(6*2),(6*2)//2=
-,-,2,6,4,-4,-8,(2-6),(2-6)-4=
-,+,7,4,7,3,10,(7-4),(7-4)+7=
//,-,4,1,4,4,0,(4//1),(4//1)-4=
*,+,8,7,1,56,57,(8*7),(8*7)+1=
-,+,7,3,7,4,11,(7-3),(7-3)+7=
-,*,8,4,3,4,12,(8-4),(8-4)*3=
*,//,3,5,4,15,3,(3*5),(3*5)//4=
+,-,4,5,6,9,3,(4+5),(4+5)-6=
+,+,2,4,7,6,13,(2+4),(2+4)+7=
-,+,2,1,2,1,3,(2-1),(2-1)+2=
+,*,1,7,8,8,64,(1+7),(1+7)*8=
//,//,8,1,6,8,1,(8//1),(8//1)//6=
-,+,7,9,5,-2,3,(7-9),(7-9)+5=
//,*,3,8,7,0,0,(3//8),(3//8)*7=
//,+,8,9,1,0,1,(8//9),(8//9)+1=
*,-,9,5,2,45,43,(9*5),(9*5)-2=
*,+,2,5,2,10,12,(2*5),(2*5)+2=
-,*,8,7,3,1,3,(8-7),(8-7)*3=
//,*,3,9,2,0,0,(3//9),(3//9)*2=
+,-,8,3,4,11,7,(8+3),(8+3)-4=
*,*,5,8,2,40,80,(5*8),(5*8)*2=
-,*,3,2,7,1,7,(3-2),(3-2)*7=
//,+,4,4,9,1,10,(4//4),(4//4)+9=
+,+,2,9,7,11,18,(2+9),(2+9)+7=
//,*,6,5,4,1,4,(6//5),(6//5)*4=
*,-,5,7,6,35,29,(5*7),(5*7)-6=
+,+,3,2,1,5,6,(3+2),(3+2)+1=
+,-,7,6,3,13,10,(7+6),(7+6)-3=
//,+,1,8,7,0,7,(1//8),(1//8)+7=
*,//,5,6,9,30,3,(5*6),(5*6)//9=
//,+,2,4,4,0,4,(2//4),(2//4)+4=
-,+,6,5,4,1,5,(6-5),(6-5)+4=
*,*,8,2,5,16,80,(8*2),(8*2)*5=
-,*,9,1,5,8,40,(9-1),(9-1)*5=
-,*,5,7,8,-2,-16,(5-7),(5-7)*8=
//,//,3,8,1,0,0,(3//8),(3//8)//1=
//,*,7,8,2,0,0,(7//8),(7//8)*2=
-,//,8,7,1,1,1,(8-7),(8-7)//1=
//,+,2,8,4,0,4,(2//8),(2//8)+4=
//,+,6,2,7,3,10,(6//2),(6//2)+7=
+,+,1,9,8,10,18,(1+9),(1+9)+8=
*,//,7,5,1,35,35,(7*5),(7*5)//1=
*,//,3,5,6,15,2,(3*5),(3*5)//6=
*,*,4,6,8,24,192,(4*6),(4*6)*8=
*,*,4,4,5,16,80,(4*4),(4*4)*5=
*,-,3,2,2,6,4,(3*2),(3*2)-2=
+,+,5,4,7,9,16,(5+4),(5+4)+7=
//,*,1,3,5,0,0,(1//3),(1//3)*5=
//,//,1,1,9,1,0,(1//1),(1//1)//9=
+,*,2,5,7,7,49,(2+5),(2+5)*7=
-,+,4,1,5,3,8,(4-1),(4-1)+5=
*,-,8,9,9,72,63,(8*9),(8*9)-9=
-,//,1,8,9,-7,-1,(1-8),(1-8)//9=
//,-,2,4,4,0,-4,(2//4),(2//4)-4=
-,*,6,6,3,0,0,(6-6),(6-6)*3=
*,*,2,5,1,10,10,(2*5),(2*5)*1=
*,+,1,8,7,8,15,(1*8),(1*8)+7=
-,+,9,2,5,7,12,(9-2),(9-2)+5=
//,-,1,2,5,0,-5,(1//2),(1//2)-5=
-,//,3,9,3,-6,-2,(3-9),(3-9)//3=
//,*,6,4,1,1,1,(6//4),(6//4)*1=
-,+,6,3,4,3,7,(6-3),(6-3)+4=
-,+,7,3,9,4,13,(7-3),(7-3)+9=
//,//,6,3,1,2,2,(6//3),(6//3)//1=
-,//,4,4,2,0,0,(4-4),(4-4)//2=
-,+,3,4,4,-1,3,(3-4),(3-4)+4=
+,*,6,5,5,11,55,(6+5),(6+5)*5=
//,*,4,5,5,0,0,(4//5),(4//5)*5=
+,*,5,6,6,11,66,(5+6),(5+6)*6=
+,-,5,5,3,10,7,(5+5),(5+5)-3=
//,+,1,2,1,0,1,(1//2),(1//2)+1=
*,//,8,5,7,40,5,(8*5),(8*5)//7=
+,*,3,4,8,7,56,(3+4),(3+4)*8=
//,-,9,1,1,9,8,(9//1),(9//1)-1=
*,+,5,4,6,20,26,(5*4),(5*4)+6=
+,+,6,3,1,9,10,(6+3),(6+3)+1=
//,+,4,9,8,0,8,(4//9),(4//9)+8=
//,//,4,1,3,4,1,(4//1),(4//1)//3=
*,*,8,9,2,72,144,(8*9),(8*9)*2=
*,//,8,9,4,72,18,(8*9),(8*9)//4=
+,*,1,5,8,6,48,(1+5),(1+5)*8=
-,+,5,9,6,-4,2,(5-9),(5-9)+6=
-,//,1,9,1,-8,-8,(1-9),(1-9)//1=
-,+,7,6,5,1,6,(7-6),(7-6)+5=
+,-,1,4,9,5,-4,(1+4),(1+4)-9=
-,//,5,2,7,3,0,(5-2),(5-2)//7=
*,*,6,6,9,36,324,(6*6),(6*6)*9=
*,-,7,7,7,49,42,(7*7),(7*7)-7=
+,+,2,9,3,11,14,(2+9),(2+9)+3=
-,+,5,4,2,1,3,(5-4),(5-4)+2=
//,//,9,8,5,1,0,(9//8),(9//8)//5=
*,-,4,3,7,12,5,(4*3),(4*3)-7=
*,+,4,3,3,12,15,(4*3),(4*3)+3=
//,+,4,2,2,2,4,(4//2),(4//2)+2=
*,*,5,8,4,40,160,(5*8),(5*8)*4=
*,*,1,4,6,4,24,(1*4),(1*4)*6=
*,//,6,8,4,48,12,(6*8),(6*8)//4=
*,*,1,6,5,6,30,(1*6),(1*6)*5=
+,*,6,6,7,12,84,(6+6),(6+6)*7=
-,*,2,1,9,1,9,(2-1),(2-1)*9=
//,//,4,8,8,0,0,(4//8),(4//8)//8=
+,//,8,7,2,15,7,(8+7),(8+7)//2=
*,*,9,3,7,27,189,(9*3),(9*3)*7=
*,*,2,9,3,18,54,(2*9),(2*9)*3=
*,-,7,6,9,42,33,(7*6),(7*6)-9=
//,//,1,2,2,0,0,(1//2),(1//2)//2=
*,-,9,1,1,9,8,(9*1),(9*1)-1=
+,+,2,8,2,10,12,(2+8),(2+8)+2=
+,//,7,7,6,14,2,(7+7),(7+7)//6=
-,-,2,2,7,0,-7,(2-2),(2-2)-7=
*,//,9,7,5,63,12,(9*7),(9*7)//5=
//,-,6,5,6,1,-5,(6//5),(6//5)-6=
+,//,2,9,3,11,3,(2+9),(2+9)//3=
+,//,9,7,8,16,2,(9+7),(9+7)//8=
//,//,3,9,3,0,0,(3//9),(3//9)//3=
*,*,3,9,8,27,216,(3*9),(3*9)*8=
*,//,8,1,5,8,1,(8*1),(8*1)//5=
*,//,3,7,9,21,2,(3*7),(3*7)//9=
+,//,1,3,1,4,4,(1+3),(1+3)//1=
*,-,9,3,9,27,18,(9*3),(9*3)-9=
-,+,4,9,2,-5,-3,(4-9),(4-9)+2=
+,//,5,1,1,6,6,(5+1),(5+1)//1=
*,*,4,7,7,28,196,(4*7),(4*7)*7=
//,*,2,7,2,0,0,(2//7),(2//7)*2=
