variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
d,//,-,9,9,7,1,-6,d=9//9,d-7=,d=9//9. d-7=
a,*,+,1,3,8,3,11,a=1*3,a+8=,a=1*3. a+8=
n,//,//,9,6,9,1,0,n=9//6,n//9=,n=9//6. n//9=
r,+,+,9,3,2,12,14,r=9+3,r+2=,r=9+3. r+2=
q,+,+,1,7,7,8,15,q=1+7,q+7=,q=1+7. q+7=
m,-,//,2,2,4,0,0,m=2-2,m//4=,m=2-2. m//4=
r,//,-,6,8,4,0,-4,r=6//8,r-4=,r=6//8. r-4=
j,//,*,3,6,8,0,0,j=3//6,j*8=,j=3//6. j*8=
k,+,+,7,6,6,13,19,k=7+6,k+6=,k=7+6. k+6=
y,*,-,8,7,7,56,49,y=8*7,y-7=,y=8*7. y-7=
z,//,+,5,2,2,2,4,z=5//2,z+2=,z=5//2. z+2=
w,+,//,6,6,7,12,1,w=6+6,w//7=,w=6+6. w//7=
u,-,*,7,4,2,3,6,u=7-4,u*2=,u=7-4. u*2=
q,*,*,6,6,5,36,180,q=6*6,q*5=,q=6*6. q*5=
h,+,-,8,6,4,14,10,h=8+6,h-4=,h=8+6. h-4=
y,+,+,5,3,6,8,14,y=5+3,y+6=,y=5+3. y+6=
l,//,*,3,5,3,0,0,l=3//5,l*3=,l=3//5. l*3=
x,//,*,7,7,6,1,6,x=7//7,x*6=,x=7//7. x*6=
m,*,*,8,1,7,8,56,m=8*1,m*7=,m=8*1. m*7=
j,-,//,4,3,3,1,0,j=4-3,j//3=,j=4-3. j//3=
o,//,//,8,9,7,0,0,o=8//9,o//7=,o=8//9. o//7=
w,-,-,2,4,6,-2,-8,w=2-4,w-6=,w=2-4. w-6=
k,//,-,6,6,8,1,-7,k=6//6,k-8=,k=6//6. k-8=
c,-,-,9,1,7,8,1,c=9-1,c-7=,c=9-1. c-7=
d,*,-,6,3,8,18,10,d=6*3,d-8=,d=6*3. d-8=
n,+,-,1,2,5,3,-2,n=1+2,n-5=,n=1+2. n-5=
s,+,+,8,8,3,16,19,s=8+8,s+3=,s=8+8. s+3=
j,-,//,5,9,3,-4,-2,j=5-9,j//3=,j=5-9. j//3=
s,//,+,9,8,9,1,10,s=9//8,s+9=,s=9//8. s+9=
c,+,-,6,7,5,13,8,c=6+7,c-5=,c=6+7. c-5=
h,+,//,6,8,9,14,1,h=6+8,h//9=,h=6+8. h//9=
c,-,+,9,8,8,1,9,c=9-8,c+8=,c=9-8. c+8=
l,-,+,1,5,4,-4,0,l=1-5,l+4=,l=1-5. l+4=
e,-,*,6,8,4,-2,-8,e=6-8,e*4=,e=6-8. e*4=
t,-,-,9,2,9,7,-2,t=9-2,t-9=,t=9-2. t-9=
a,-,*,1,3,5,-2,-10,a=1-3,a*5=,a=1-3. a*5=
t,-,*,7,1,2,6,12,t=7-1,t*2=,t=7-1. t*2=
e,*,-,7,5,5,35,30,e=7*5,e-5=,e=7*5. e-5=
c,-,-,7,1,6,6,0,c=7-1,c-6=,c=7-1. c-6=
r,+,//,6,5,8,11,1,r=6+5,r//8=,r=6+5. r//8=
l,+,//,7,6,4,13,3,l=7+6,l//4=,l=7+6. l//4=
v,//,+,4,3,4,1,5,v=4//3,v+4=,v=4//3. v+4=
p,//,-,6,8,1,0,-1,p=6//8,p-1=,p=6//8. p-1=
f,-,-,8,8,4,0,-4,f=8-8,f-4=,f=8-8. f-4=
v,//,+,5,3,6,1,7,v=5//3,v+6=,v=5//3. v+6=
k,-,-,4,5,9,-1,-10,k=4-5,k-9=,k=4-5. k-9=
p,+,+,1,6,4,7,11,p=1+6,p+4=,p=1+6. p+4=
f,//,+,3,2,8,1,9,f=3//2,f+8=,f=3//2. f+8=
u,//,+,8,4,8,2,10,u=8//4,u+8=,u=8//4. u+8=
q,*,+,4,4,2,16,18,q=4*4,q+2=,q=4*4. q+2=
y,//,+,4,7,7,0,7,y=4//7,y+7=,y=4//7. y+7=
u,+,//,1,3,2,4,2,u=1+3,u//2=,u=1+3. u//2=
x,-,+,9,6,1,3,4,x=9-6,x+1=,x=9-6. x+1=
d,+,//,9,9,1,18,18,d=9+9,d//1=,d=9+9. d//1=
l,-,-,9,9,7,0,-7,l=9-9,l-7=,l=9-9. l-7=
m,+,-,1,5,5,6,1,m=1+5,m-5=,m=1+5. m-5=
w,-,//,3,3,3,0,0,w=3-3,w//3=,w=3-3. w//3=
y,+,//,4,9,9,13,1,y=4+9,y//9=,y=4+9. y//9=
e,//,*,4,2,4,2,8,e=4//2,e*4=,e=4//2. e*4=
n,+,+,7,5,3,12,15,n=7+5,n+3=,n=7+5. n+3=
o,*,-,7,5,7,35,28,o=7*5,o-7=,o=7*5. o-7=
p,+,+,5,1,7,6,13,p=5+1,p+7=,p=5+1. p+7=
z,//,+,2,1,9,2,11,z=2//1,z+9=,z=2//1. z+9=
h,//,+,3,7,4,0,4,h=3//7,h+4=,h=3//7. h+4=
a,-,*,5,5,1,0,0,a=5-5,a*1=,a=5-5. a*1=
n,-,//,6,8,5,-2,-1,n=6-8,n//5=,n=6-8. n//5=
l,*,+,8,1,2,8,10,l=8*1,l+2=,l=8*1. l+2=
a,//,+,6,4,3,1,4,a=6//4,a+3=,a=6//4. a+3=
n,-,*,9,3,5,6,30,n=9-3,n*5=,n=9-3. n*5=
w,*,-,2,7,1,14,13,w=2*7,w-1=,w=2*7. w-1=
n,-,//,7,4,9,3,0,n=7-4,n//9=,n=7-4. n//9=
h,//,//,8,2,6,4,0,h=8//2,h//6=,h=8//2. h//6=
h,-,+,5,7,7,-2,5,h=5-7,h+7=,h=5-7. h+7=
c,*,+,6,2,4,12,16,c=6*2,c+4=,c=6*2. c+4=
f,+,+,1,7,3,8,11,f=1+7,f+3=,f=1+7. f+3=
e,-,//,3,7,4,-4,-1,e=3-7,e//4=,e=3-7. e//4=
m,*,-,1,8,3,8,5,m=1*8,m-3=,m=1*8. m-3=
b,+,+,8,3,8,11,19,b=8+3,b+8=,b=8+3. b+8=
c,+,+,3,4,4,7,11,c=3+4,c+4=,c=3+4. c+4=
v,*,*,7,6,4,42,168,v=7*6,v*4=,v=7*6. v*4=
t,-,*,7,7,3,0,0,t=7-7,t*3=,t=7-7. t*3=
t,//,*,3,1,4,3,12,t=3//1,t*4=,t=3//1. t*4=
n,//,-,4,7,6,0,-6,n=4//7,n-6=,n=4//7. n-6=
r,*,*,2,9,6,18,108,r=2*9,r*6=,r=2*9. r*6=
z,//,-,8,4,3,2,-1,z=8//4,z-3=,z=8//4. z-3=
h,*,//,1,3,3,3,1,h=1*3,h//3=,h=1*3. h//3=
l,//,//,3,9,6,0,0,l=3//9,l//6=,l=3//9. l//6=
c,-,-,2,3,3,-1,-4,c=2-3,c-3=,c=2-3. c-3=
z,*,*,2,2,7,4,28,z=2*2,z*7=,z=2*2. z*7=
u,//,//,3,1,4,3,0,u=3//1,u//4=,u=3//1. u//4=
y,//,-,7,1,5,7,2,y=7//1,y-5=,y=7//1. y-5=
n,+,*,6,1,5,7,35,n=6+1,n*5=,n=6+1. n*5=
n,*,-,6,2,7,12,5,n=6*2,n-7=,n=6*2. n-7=
f,+,//,1,6,7,7,1,f=1+6,f//7=,f=1+6. f//7=
l,-,//,5,5,6,0,0,l=5-5,l//6=,l=5-5. l//6=
b,-,-,3,2,9,1,-8,b=3-2,b-9=,b=3-2. b-9=
o,-,+,7,6,5,1,6,o=7-6,o+5=,o=7-6. o+5=
w,+,+,6,6,3,12,15,w=6+6,w+3=,w=6+6. w+3=
r,//,-,8,2,5,4,-1,r=8//2,r-5=,r=8//2. r-5=
p,+,-,3,5,2,8,6,p=3+5,p-2=,p=3+5. p-2=
t,-,-,7,7,4,0,-4,t=7-7,t-4=,t=7-7. t-4=
l,+,//,4,1,4,5,1,l=4+1,l//4=,l=4+1. l//4=
m,+,//,5,8,3,13,4,m=5+8,m//3=,m=5+8. m//3=
f,//,+,3,5,7,0,7,f=3//5,f+7=,f=3//5. f+7=
y,*,+,2,9,3,18,21,y=2*9,y+3=,y=2*9. y+3=
d,//,-,3,8,7,0,-7,d=3//8,d-7=,d=3//8. d-7=
l,-,//,8,6,9,2,0,l=8-6,l//9=,l=8-6. l//9=
i,//,-,3,5,3,0,-3,i=3//5,i-3=,i=3//5. i-3=
d,*,-,9,1,6,9,3,d=9*1,d-6=,d=9*1. d-6=
n,//,//,7,6,1,1,1,n=7//6,n//1=,n=7//6. n//1=
s,//,//,4,8,4,0,0,s=4//8,s//4=,s=4//8. s//4=
e,+,*,9,3,4,12,48,e=9+3,e*4=,e=9+3. e*4=
v,-,-,3,3,7,0,-7,v=3-3,v-7=,v=3-3. v-7=
k,-,-,3,6,3,-3,-6,k=3-6,k-3=,k=3-6. k-3=
g,-,//,2,6,8,-4,-1,g=2-6,g//8=,g=2-6. g//8=
a,+,+,9,4,3,13,16,a=9+4,a+3=,a=9+4. a+3=
a,+,*,3,6,9,9,81,a=3+6,a*9=,a=3+6. a*9=
v,//,-,8,5,5,1,-4,v=8//5,v-5=,v=8//5. v-5=
f,//,//,5,4,4,1,0,f=5//4,f//4=,f=5//4. f//4=
x,-,+,1,8,4,-7,-3,x=1-8,x+4=,x=1-8. x+4=
b,+,-,2,6,4,8,4,b=2+6,b-4=,b=2+6. b-4=
s,//,-,8,9,2,0,-2,s=8//9,s-2=,s=8//9. s-2=
r,*,//,3,5,5,15,3,r=3*5,r//5=,r=3*5. r//5=
r,+,//,4,8,2,12,6,r=4+8,r//2=,r=4+8. r//2=
x,//,+,8,7,8,1,9,x=8//7,x+8=,x=8//7. x+8=
o,//,*,9,1,1,9,9,o=9//1,o*1=,o=9//1. o*1=
d,//,-,8,7,2,1,-1,d=8//7,d-2=,d=8//7. d-2=
j,//,*,7,6,2,1,2,j=7//6,j*2=,j=7//6. j*2=
c,*,*,7,1,6,7,42,c=7*1,c*6=,c=7*1. c*6=
v,+,//,9,5,1,14,14,v=9+5,v//1=,v=9+5. v//1=
u,-,-,1,3,5,-2,-7,u=1-3,u-5=,u=1-3. u-5=
p,//,-,4,9,1,0,-1,p=4//9,p-1=,p=4//9. p-1=
a,-,+,6,9,4,-3,1,a=6-9,a+4=,a=6-9. a+4=
u,*,+,7,1,6,7,13,u=7*1,u+6=,u=7*1. u+6=
f,-,+,5,6,4,-1,3,f=5-6,f+4=,f=5-6. f+4=
f,//,+,6,7,7,0,7,f=6//7,f+7=,f=6//7. f+7=
f,//,//,4,9,6,0,0,f=4//9,f//6=,f=4//9. f//6=
u,+,-,6,8,3,14,11,u=6+8,u-3=,u=6+8. u-3=
w,-,*,1,5,6,-4,-24,w=1-5,w*6=,w=1-5. w*6=
x,-,+,6,6,1,0,1,x=6-6,x+1=,x=6-6. x+1=
i,-,//,4,9,9,-5,-1,i=4-9,i//9=,i=4-9. i//9=
g,+,-,1,3,8,4,-4,g=1+3,g-8=,g=1+3. g-8=
v,*,*,1,7,8,7,56,v=1*7,v*8=,v=1*7. v*8=
t,+,+,2,8,5,10,15,t=2+8,t+5=,t=2+8. t+5=
q,//,-,4,3,4,1,-3,q=4//3,q-4=,q=4//3. q-4=
z,//,+,3,9,6,0,6,z=3//9,z+6=,z=3//9. z+6=
k,-,//,9,8,6,1,0,k=9-8,k//6=,k=9-8. k//6=
b,//,-,1,2,5,0,-5,b=1//2,b-5=,b=1//2. b-5=
u,*,//,1,6,7,6,0,u=1*6,u//7=,u=1*6. u//7=
d,*,//,3,1,3,3,1,d=3*1,d//3=,d=3*1. d//3=
x,+,*,3,6,8,9,72,x=3+6,x*8=,x=3+6. x*8=
f,+,+,5,7,9,12,21,f=5+7,f+9=,f=5+7. f+9=
m,-,-,7,8,9,-1,-10,m=7-8,m-9=,m=7-8. m-9=
i,-,-,2,5,5,-3,-8,i=2-5,i-5=,i=2-5. i-5=
k,*,*,9,7,1,63,63,k=9*7,k*1=,k=9*7. k*1=
r,+,//,2,5,4,7,1,r=2+5,r//4=,r=2+5. r//4=
h,+,*,1,4,6,5,30,h=1+4,h*6=,h=1+4. h*6=
f,*,+,9,8,4,72,76,f=9*8,f+4=,f=9*8. f+4=
f,*,-,2,6,1,12,11,f=2*6,f-1=,f=2*6. f-1=
p,-,//,1,1,2,0,0,p=1-1,p//2=,p=1-1. p//2=
s,//,//,1,8,1,0,0,s=1//8,s//1=,s=1//8. s//1=
z,+,-,5,5,4,10,6,z=5+5,z-4=,z=5+5. z-4=
q,*,*,6,3,4,18,72,q=6*3,q*4=,q=6*3. q*4=
d,-,//,4,5,2,-1,-1,d=4-5,d//2=,d=4-5. d//2=
j,+,+,6,4,6,10,16,j=6+4,j+6=,j=6+4. j+6=
b,-,*,2,8,4,-6,-24,b=2-8,b*4=,b=2-8. b*4=
c,-,*,6,4,3,2,6,c=6-4,c*3=,c=6-4. c*3=
n,+,//,1,2,5,3,0,n=1+2,n//5=,n=1+2. n//5=
u,//,*,9,8,3,1,3,u=9//8,u*3=,u=9//8. u*3=
b,-,*,6,9,7,-3,-21,b=6-9,b*7=,b=6-9. b*7=
l,*,-,7,7,8,49,41,l=7*7,l-8=,l=7*7. l-8=
r,*,*,5,4,6,20,120,r=5*4,r*6=,r=5*4. r*6=
l,-,-,9,6,2,3,1,l=9-6,l-2=,l=9-6. l-2=
c,*,//,9,1,4,9,2,c=9*1,c//4=,c=9*1. c//4=
r,+,-,2,8,5,10,5,r=2+8,r-5=,r=2+8. r-5=
e,//,*,9,7,8,1,8,e=9//7,e*8=,e=9//7. e*8=
b,//,-,7,1,7,7,0,b=7//1,b-7=,b=7//1. b-7=
r,+,+,2,1,8,3,11,r=2+1,r+8=,r=2+1. r+8=
s,//,//,6,9,3,0,0,s=6//9,s//3=,s=6//9. s//3=
i,*,//,9,7,1,63,63,i=9*7,i//1=,i=9*7. i//1=
n,-,//,4,3,1,1,1,n=4-3,n//1=,n=4-3. n//1=
f,//,-,1,5,1,0,-1,f=1//5,f-1=,f=1//5. f-1=
v,+,//,4,8,1,12,12,v=4+8,v//1=,v=4+8. v//1=
f,*,//,9,8,3,72,24,f=9*8,f//3=,f=9*8. f//3=
n,-,//,8,1,4,7,1,n=8-1,n//4=,n=8-1. n//4=
f,//,*,6,4,6,1,6,f=6//4,f*6=,f=6//4. f*6=
l,-,-,6,5,6,1,-5,l=6-5,l-6=,l=6-5. l-6=
k,+,+,1,4,8,5,13,k=1+4,k+8=,k=1+4. k+8=
q,+,-,3,4,3,7,4,q=3+4,q-3=,q=3+4. q-3=
g,+,-,2,1,1,3,2,g=2+1,g-1=,g=2+1. g-1=
g,*,//,3,8,2,24,12,g=3*8,g//2=,g=3*8. g//2=
c,//,*,4,7,8,0,0,c=4//7,c*8=,c=4//7. c*8=
s,-,+,5,5,5,0,5,s=5-5,s+5=,s=5-5. s+5=
e,-,//,9,4,8,5,0,e=9-4,e//8=,e=9-4. e//8=
e,//,//,2,9,9,0,0,e=2//9,e//9=,e=2//9. e//9=
t,+,-,5,5,5,10,5,t=5+5,t-5=,t=5+5. t-5=
y,//,*,2,4,3,0,0,y=2//4,y*3=,y=2//4. y*3=
y,-,*,4,7,7,-3,-21,y=4-7,y*7=,y=4-7. y*7=
j,*,//,5,4,2,20,10,j=5*4,j//2=,j=5*4. j//2=
b,//,-,8,8,6,1,-5,b=8//8,b-6=,b=8//8. b-6=
b,-,+,8,2,2,6,8,b=8-2,b+2=,b=8-2. b+2=
g,-,//,8,8,7,0,0,g=8-8,g//7=,g=8-8. g//7=
b,-,+,7,6,6,1,7,b=7-6,b+6=,b=7-6. b+6=
k,+,-,5,6,9,11,2,k=5+6,k-9=,k=5+6. k-9=
d,//,//,3,3,6,1,0,d=3//3,d//6=,d=3//3. d//6=
d,//,+,5,6,7,0,7,d=5//6,d+7=,d=5//6. d+7=
f,//,+,3,8,5,0,5,f=3//8,f+5=,f=3//8. f+5=
j,*,-,8,4,1,32,31,j=8*4,j-1=,j=8*4. j-1=
d,-,//,6,7,9,-1,-1,d=6-7,d//9=,d=6-7. d//9=
s,//,+,9,5,5,1,6,s=9//5,s+5=,s=9//5. s+5=
o,*,*,7,3,8,21,168,o=7*3,o*8=,o=7*3. o*8=
k,+,+,9,7,1,16,17,k=9+7,k+1=,k=9+7. k+1=
q,*,//,4,8,3,32,10,q=4*8,q//3=,q=4*8. q//3=
m,//,+,4,3,1,1,2,m=4//3,m+1=,m=4//3. m+1=
s,//,//,3,1,8,3,0,s=3//1,s//8=,s=3//1. s//8=
u,*,+,3,5,6,15,21,u=3*5,u+6=,u=3*5. u+6=
k,+,-,3,2,3,5,2,k=3+2,k-3=,k=3+2. k-3=
q,*,-,3,4,4,12,8,q=3*4,q-4=,q=3*4. q-4=
c,-,*,3,3,8,0,0,c=3-3,c*8=,c=3-3. c*8=
h,//,+,1,2,9,0,9,h=1//2,h+9=,h=1//2. h+9=
t,-,+,2,8,5,-6,-1,t=2-8,t+5=,t=2-8. t+5=
o,+,*,1,2,5,3,15,o=1+2,o*5=,o=1+2. o*5=
r,+,-,4,3,9,7,-2,r=4+3,r-9=,r=4+3. r-9=
e,+,*,9,1,3,10,30,e=9+1,e*3=,e=9+1. e*3=
g,*,+,4,4,4,16,20,g=4*4,g+4=,g=4*4. g+4=
r,*,//,8,6,1,48,48,r=8*6,r//1=,r=8*6. r//1=
b,+,+,2,8,2,10,12,b=2+8,b+2=,b=2+8. b+2=
e,*,//,7,2,9,14,1,e=7*2,e//9=,e=7*2. e//9=
l,-,*,9,9,1,0,0,l=9-9,l*1=,l=9-9. l*1=
f,+,//,1,5,1,6,6,f=1+5,f//1=,f=1+5. f//1=
l,//,*,7,1,5,7,35,l=7//1,l*5=,l=7//1. l*5=
l,+,//,9,5,6,14,2,l=9+5,l//6=,l=9+5. l//6=
u,*,+,4,6,9,24,33,u=4*6,u+9=,u=4*6. u+9=
s,*,//,8,7,5,56,11,s=8*7,s//5=,s=8*7. s//5=
j,+,//,9,5,8,14,1,j=9+5,j//8=,j=9+5. j//8=
d,-,+,2,6,1,-4,-3,d=2-6,d+1=,d=2-6. d+1=
e,//,-,5,8,1,0,-1,e=5//8,e-1=,e=5//8. e-1=
t,-,+,4,9,1,-5,-4,t=4-9,t+1=,t=4-9. t+1=
x,+,//,7,8,9,15,1,x=7+8,x//9=,x=7+8. x//9=
w,-,//,6,1,3,5,1,w=6-1,w//3=,w=6-1. w//3=
l,-,+,7,7,5,0,5,l=7-7,l+5=,l=7-7. l+5=
e,-,-,5,6,4,-1,-5,e=5-6,e-4=,e=5-6. e-4=
g,*,-,9,9,7,81,74,g=9*9,g-7=,g=9*9. g-7=
w,//,-,8,2,1,4,3,w=8//2,w-1=,w=8//2. w-1=
l,*,*,3,7,3,21,63,l=3*7,l*3=,l=3*7. l*3=
w,*,*,5,9,8,45,360,w=5*9,w*8=,w=5*9. w*8=
j,*,+,6,4,7,24,31,j=6*4,j+7=,j=6*4. j+7=
l,-,-,8,2,6,6,0,l=8-2,l-6=,l=8-2. l-6=
n,-,*,6,9,4,-3,-12,n=6-9,n*4=,n=6-9. n*4=
x,//,*,3,1,9,3,27,x=3//1,x*9=,x=3//1. x*9=
f,//,+,4,5,5,0,5,f=4//5,f+5=,f=4//5. f+5=
u,+,*,5,2,1,7,7,u=5+2,u*1=,u=5+2. u*1=
w,-,-,5,6,3,-1,-4,w=5-6,w-3=,w=5-6. w-3=
w,+,+,3,3,5,6,11,w=3+3,w+5=,w=3+3. w+5=
a,*,+,8,3,7,24,31,a=8*3,a+7=,a=8*3. a+7=
b,//,+,3,2,7,1,8,b=3//2,b+7=,b=3//2. b+7=
g,*,-,6,2,4,12,8,g=6*2,g-4=,g=6*2. g-4=
l,-,//,8,1,3,7,2,l=8-1,l//3=,l=8-1. l//3=
l,//,-,8,9,7,0,-7,l=8//9,l-7=,l=8//9. l-7=
o,+,+,4,1,4,5,9,o=4+1,o+4=,o=4+1. o+4=
u,*,+,1,4,9,4,13,u=1*4,u+9=,u=1*4. u+9=
c,-,//,9,2,1,7,7,c=9-2,c//1=,c=9-2. c//1=
q,//,//,7,7,8,1,0,q=7//7,q//8=,q=7//7. q//8=
c,+,+,7,1,4,8,12,c=7+1,c+4=,c=7+1. c+4=
z,-,-,3,6,1,-3,-4,z=3-6,z-1=,z=3-6. z-1=
d,//,+,7,9,3,0,3,d=7//9,d+3=,d=7//9. d+3=
i,-,*,3,6,3,-3,-9,i=3-6,i*3=,i=3-6. i*3=
c,*,+,8,5,7,40,47,c=8*5,c+7=,c=8*5. c+7=
a,//,-,9,1,6,9,3,a=9//1,a-6=,a=9//1. a-6=
p,//,-,1,8,9,0,-9,p=1//8,p-9=,p=1//8. p-9=
k,-,//,9,2,6,7,1,k=9-2,k//6=,k=9-2. k//6=
a,+,*,1,2,4,3,12,a=1+2,a*4=,a=1+2. a*4=
i,*,+,9,7,9,63,72,i=9*7,i+9=,i=9*7. i+9=
v,-,//,5,4,6,1,0,v=5-4,v//6=,v=5-4. v//6=
v,+,//,7,3,1,10,10,v=7+3,v//1=,v=7+3. v//1=
l,-,-,7,4,8,3,-5,l=7-4,l-8=,l=7-4. l-8=
f,//,*,5,5,9,1,9,f=5//5,f*9=,f=5//5. f*9=
i,*,+,5,9,6,45,51,i=5*9,i+6=,i=5*9. i+6=
u,+,+,4,2,9,6,15,u=4+2,u+9=,u=4+2. u+9=
r,-,*,8,3,1,5,5,r=8-3,r*1=,r=8-3. r*1=
x,+,-,8,2,4,10,6,x=8+2,x-4=,x=8+2. x-4=
j,//,//,4,4,4,1,0,j=4//4,j//4=,j=4//4. j//4=
w,//,*,1,1,3,1,3,w=1//1,w*3=,w=1//1. w*3=
q,//,-,4,5,1,0,-1,q=4//5,q-1=,q=4//5. q-1=
m,-,//,1,4,4,-3,-1,m=1-4,m//4=,m=1-4. m//4=
t,//,*,6,6,3,1,3,t=6//6,t*3=,t=6//6. t*3=
n,-,+,2,1,1,1,2,n=2-1,n+1=,n=2-1. n+1=
u,//,//,2,3,8,0,0,u=2//3,u//8=,u=2//3. u//8=
v,*,*,4,7,4,28,112,v=4*7,v*4=,v=4*7. v*4=
d,-,+,4,2,9,2,11,d=4-2,d+9=,d=4-2. d+9=
v,-,//,1,4,2,-3,-2,v=1-4,v//2=,v=1-4. v//2=
b,+,-,3,4,9,7,-2,b=3+4,b-9=,b=3+4. b-9=
t,//,*,3,4,7,0,0,t=3//4,t*7=,t=3//4. t*7=
v,-,*,4,6,4,-2,-8,v=4-6,v*4=,v=4-6. v*4=
c,//,+,8,6,8,1,9,c=8//6,c+8=,c=8//6. c+8=
a,+,+,9,8,2,17,19,a=9+8,a+2=,a=9+8. a+2=
s,-,*,5,7,7,-2,-14,s=5-7,s*7=,s=5-7. s*7=
y,-,-,3,7,5,-4,-9,y=3-7,y-5=,y=3-7. y-5=
t,+,+,9,3,1,12,13,t=9+3,t+1=,t=9+3. t+1=
l,//,-,7,3,9,2,-7,l=7//3,l-9=,l=7//3. l-9=
k,//,+,6,9,6,0,6,k=6//9,k+6=,k=6//9. k+6=
s,+,*,9,1,8,10,80,s=9+1,s*8=,s=9+1. s*8=
v,//,*,5,7,7,0,0,v=5//7,v*7=,v=5//7. v*7=
c,*,-,9,4,7,36,29,c=9*4,c-7=,c=9*4. c-7=
n,-,//,8,9,1,-1,-1,n=8-9,n//1=,n=8-9. n//1=
e,*,-,2,9,2,18,16,e=2*9,e-2=,e=2*9. e-2=
n,//,//,6,4,8,1,0,n=6//4,n//8=,n=6//4. n//8=
g,+,//,9,1,3,10,3,g=9+1,g//3=,g=9+1. g//3=
y,-,//,1,6,6,-5,-1,y=1-6,y//6=,y=1-6. y//6=
j,//,+,7,3,3,2,5,j=7//3,j+3=,j=7//3. j+3=
x,//,//,5,1,8,5,0,x=5//1,x//8=,x=5//1. x//8=
h,*,*,9,3,3,27,81,h=9*3,h*3=,h=9*3. h*3=
j,*,+,5,1,2,5,7,j=5*1,j+2=,j=5*1. j+2=
d,*,+,7,6,7,42,49,d=7*6,d+7=,d=7*6. d+7=
f,//,//,2,6,5,0,0,f=2//6,f//5=,f=2//6. f//5=
l,//,//,1,8,6,0,0,l=1//8,l//6=,l=1//8. l//6=
p,-,+,8,6,2,2,4,p=8-6,p+2=,p=8-6. p+2=
y,*,+,3,5,8,15,23,y=3*5,y+8=,y=3*5. y+8=
z,*,//,8,1,3,8,2,z=8*1,z//3=,z=8*1. z//3=
s,-,//,1,7,6,-6,-1,s=1-7,s//6=,s=1-7. s//6=
t,-,//,3,6,4,-3,-1,t=3-6,t//4=,t=3-6. t//4=
g,+,-,6,5,2,11,9,g=6+5,g-2=,g=6+5. g-2=
z,+,//,8,5,9,13,1,z=8+5,z//9=,z=8+5. z//9=
o,-,-,7,9,5,-2,-7,o=7-9,o-5=,o=7-9. o-5=
q,+,-,1,2,4,3,-1,q=1+2,q-4=,q=1+2. q-4=
p,*,*,2,4,9,8,72,p=2*4,p*9=,p=2*4. p*9=
m,*,-,1,5,1,5,4,m=1*5,m-1=,m=1*5. m-1=
g,//,//,3,4,5,0,0,g=3//4,g//5=,g=3//4. g//5=
q,*,+,3,8,5,24,29,q=3*8,q+5=,q=3*8. q+5=
q,-,//,1,9,6,-8,-2,q=1-9,q//6=,q=1-9. q//6=
x,*,//,8,3,9,24,2,x=8*3,x//9=,x=8*3. x//9=
a,-,+,2,8,8,-6,2,a=2-8,a+8=,a=2-8. a+8=
l,//,-,9,5,4,1,-3,l=9//5,l-4=,l=9//5. l-4=
i,//,+,4,6,8,0,8,i=4//6,i+8=,i=4//6. i+8=
x,+,-,2,9,3,11,8,x=2+9,x-3=,x=2+9. x-3=
b,//,-,6,3,4,2,-2,b=6//3,b-4=,b=6//3. b-4=
j,//,*,1,6,7,0,0,j=1//6,j*7=,j=1//6. j*7=
b,+,-,4,8,7,12,5,b=4+8,b-7=,b=4+8. b-7=
x,*,-,8,3,5,24,19,x=8*3,x-5=,x=8*3. x-5=
v,//,//,1,9,3,0,0,v=1//9,v//3=,v=1//9. v//3=
j,+,*,5,2,7,7,49,j=5+2,j*7=,j=5+2. j*7=
u,//,-,9,4,5,2,-3,u=9//4,u-5=,u=9//4. u-5=
l,-,*,2,6,7,-4,-28,l=2-6,l*7=,l=2-6. l*7=
k,//,+,2,7,5,0,5,k=2//7,k+5=,k=2//7. k+5=
n,*,*,1,7,3,7,21,n=1*7,n*3=,n=1*7. n*3=
e,*,+,4,5,7,20,27,e=4*5,e+7=,e=4*5. e+7=
c,-,*,7,5,2,2,4,c=7-5,c*2=,c=7-5. c*2=
v,-,*,3,7,6,-4,-24,v=3-7,v*6=,v=3-7. v*6=
t,*,*,4,5,7,20,140,t=4*5,t*7=,t=4*5. t*7=
v,-,+,4,2,5,2,7,v=4-2,v+5=,v=4-2. v+5=
o,*,//,1,4,3,4,1,o=1*4,o//3=,o=1*4. o//3=
z,//,+,8,5,6,1,7,z=8//5,z+6=,z=8//5. z+6=
i,+,*,7,2,5,9,45,i=7+2,i*5=,i=7+2. i*5=
u,+,-,8,6,9,14,5,u=8+6,u-9=,u=8+6. u-9=
v,+,//,5,1,1,6,6,v=5+1,v//1=,v=5+1. v//1=
g,+,//,9,3,7,12,1,g=9+3,g//7=,g=9+3. g//7=
m,+,*,3,6,3,9,27,m=3+6,m*3=,m=3+6. m*3=
m,//,+,1,4,5,0,5,m=1//4,m+5=,m=1//4. m+5=
h,*,+,9,2,2,18,20,h=9*2,h+2=,h=9*2. h+2=
q,*,//,3,7,9,21,2,q=3*7,q//9=,q=3*7. q//9=
h,-,*,1,8,7,-7,-49,h=1-8,h*7=,h=1-8. h*7=
d,//,//,2,7,3,0,0,d=2//7,d//3=,d=2//7. d//3=
w,+,*,6,8,1,14,14,w=6+8,w*1=,w=6+8. w*1=
l,-,*,7,3,7,4,28,l=7-3,l*7=,l=7-3. l*7=
